2003-01-01	20794	92813	1443
2003-01-29	20826	92835	1446
2003-02-26	20862	94602	1456
2003-03-26	20911	95743	1457
2003-04-23	20906	97479	1456
2003-05-21	21105	98446	1477
2003-06-18	21370	98064	1496
2003-07-16	21416	99012	1495
2003-08-13	21517	98931	1503
2003-09-10	21765	99257	1492
2003-10-08	21874	103094	1495
2003-11-05	21902	104684	1477
2003-12-03	21955	105503	1492
2003-12-31	22027	106093	1494
2004-01-01	24679	104270	1389
2004-01-29	24637	104512	1316
2004-02-26	24856	106104	1322
2004-03-25	25057	107468	1314
2004-04-22	25211	108845	1315
2004-05-20	25955	108884	1596
2004-06-17	26171	111208	1602
2004-07-15	26435	112613	1617
2004-08-12	26675	113371	1631
2004-09-09	26939	115995	1643
2004-10-07	7543	40434	314
2004-11-04	27378	119206	1655
2004-12-02	27611	120298	1651
2004-12-30	27921	121933	1691
2005-01-01	27944	122050	1689
2005-01-29	28151	123430	1700
2005-02-26	28343	124645	1679
2005-03-26	0	0	0
2005-04-23	0	0	0
2005-05-21	19442	68998	1013
2005-06-18	29510	132373	1702
2005-07-16	18692	65505	955
2005-08-13	30138	134099	1720
2005-09-10	26027	109002	1461
2005-10-08	26931	116733	1499
2005-11-05	25763	103694	1465
2005-12-03	31220	140570	1762
2005-12-31	31436	141829	1769
2006-01-01	2354	31645	80
2006-01-29	27084	111739	1502
2006-02-26	23512	94787	1285
2006-03-26	27961	119129	1500
2006-04-23	32572	150848	1754
2006-05-21	10656	65523	410
2006-06-18	22476	90233	1071
2006-07-16	23557	95927	1136
2006-08-13	2716	35546	79
2006-09-10	26758	113206	1402
2006-10-08	34330	161097	1789
2006-11-05	29185	124010	1506
2006-12-03	31210	141325	1545
2006-12-31	24127	98852	1107
2007-01-01	29021	124627	1483
2007-01-29	35519	170048	1799
2007-02-26	35852	173589	1805
2007-03-26	36226	176586	1811
2007-04-23	36506	178188	1824
2007-05-21	36860	180248	1811
2007-06-18	37176	182343	1810
2007-07-16	37594	184302	1821
2007-08-13	37893	186524	1820
2007-09-10	38154	188196	1820
2007-10-08	38482	191647	1818
2007-11-05	38776	194363	1832
2007-12-03	39202	196691	1845
2007-12-31	39438	198693	1835
2008-01-01	39431	198739	1837
2008-01-29	39685	200450	1836
2008-02-26	40039	203123	1846
2008-03-25	40314	205724	1849
2008-04-22	40656	208892	1838
2008-05-20	40935	211205	1842
2008-06-17	41246	215097	1843
2008-07-15	41555	217205	1840
2008-08-12	41848	219735	1836
2008-09-09	42186	221787	1827
2008-10-07	42625	224139	1850
2008-11-04	43383	226221	1935
2008-12-02	43834	228659	1944
2008-12-30	44203	228312	1945
2009-01-01	44205	227855	1944
2009-01-29	44490	230864	1938
2009-02-26	44848	232910	1950
2009-03-26	45292	234771	1961
2009-04-23	45619	237402	1964
