2003-01-01	0	0	0
2003-01-29	0	0	0
2003-02-26	0	0	0
2003-03-26	0	0	0
2003-04-23	0	0	0
2003-05-21	0	0	0
2003-06-18	0	0	0
2003-07-16	0	0	0
2003-08-13	0	0	0
2003-09-10	0	0	0
2003-10-08	0	0	0
2003-11-05	0	0	0
2003-12-03	0	0	0
2003-12-31	0	0	0
2004-01-01	0	0	0
2004-01-29	0	0	0
2004-02-26	0	0	0
2004-03-25	0	0	0
2004-04-22	0	0	0
2004-05-20	0	0	0
2004-06-17	0	0	0
2004-07-15	0	0	0
2004-08-12	0	0	0
2004-09-09	0	0	0
2004-10-07	0	0	0
2004-11-04	0	0	0
2004-12-02	0	0	0
2004-12-30	0	0	0
2005-01-01	0	0	0
2005-01-29	0	0	0
2005-02-26	0	0	0
2005-03-26	0	0	0
2005-04-23	0	0	0
2005-05-21	0	0	0
2005-06-18	0	0	0
2005-07-16	0	0	0
2005-08-13	0	0	0
2005-09-10	0	0	0
2005-10-08	0	0	0
2005-11-05	0	0	0
2005-12-03	0	0	0
2005-12-31	0	0	0
2006-01-01	31449	140802	1763
2006-01-29	31755	143347	1768
2006-02-26	32068	145986	1764
2006-03-26	32354	148388	1759
2006-04-23	32602	150480	1749
2006-05-21	32884	151863	1761
2006-06-18	33232	154188	1760
2006-07-16	33494	154650	1770
2006-08-13	33768	157222	1759
2006-09-10	34020	159882	1769
2006-10-08	34363	160981	1791
2006-11-05	34727	163550	1797
2006-12-03	35082	166616	1796
2006-12-31	35254	167319	1796
2007-01-01	35262	167319	1796
2007-01-29	35543	169833	1801
2007-02-26	35876	173703	1808
2007-03-26	36251	176763	1813
2007-04-23	36564	179036	1825
2007-05-21	36903	181278	1814
2007-06-18	37206	182892	1810
2007-07-16	37611	184661	1819
2007-08-13	37918	187565	1822
2007-09-10	38188	189058	1821
2007-10-08	38454	190555	1812
2007-11-05	38750	193399	1831
2007-12-03	39174	195923	1840
2007-12-31	39403	197669	1832
2008-01-01	39404	197381	1830
2008-01-29	39657	199570	1832
2008-02-26	40031	204331	1844
2008-03-25	40365	206868	1850
2008-04-22	40709	210244	1840
2008-05-20	41013	212707	1844
2008-06-17	41309	213713	1845
2008-07-15	41621	216328	1838
2008-08-12	41918	218154	1834
2008-09-09	42252	221595	1826
2008-10-07	42716	223351	1850
2008-11-04	0	0	0
2008-12-02	43935	231609	1957
2008-12-30	44300	231126	1953
2009-01-01	44297	230529	1952
2009-01-29	44768	236110	1951
2009-02-26	45312	243893	1973
2009-03-26	0	0	0
2009-04-23	45716	243138	1974
