"<1982"	1285
"1982"	2
"1983"	51
"1984"	57
"1985"	116
"1986"	250
"1987"	385
"1988"	1049
"1989"	1609
"1990"	2899
"1991"	3945
"1992"	8936
"1993"	11439
"1994"	10418
"1995"	8062
"1996"	3646
"1997"	1578
"1998"	1244
"1999"	1832
"2000"	2872
"2001"	2778
"2002"	2396
"2003"	2975
"2004"	4060
"2005"	4514
"2006"	5367
"2007"	6079
"2008"	6766
"2009"	2053

