unknown	1285	259917568
1983	51	17833984
1984	57	17607424
1985	116	1408256
1986	250	21139712
1987	385	9053952
1988	1049	79608576
1989	1609	122380288
1990	2899	126791168
1991	3945	195015936
1992	8936	178620928
1993	11439	127784448
1994	10418	63980800
1995	8062	76865360
1996	3646	99088376
1997	1578	62444504
1998	1244	59880936
1999	1832	43159568
2000	2872	79513280
2001	2778	86129792
2002	2396	68222472
2003	2975	86036016
2004	4060	125584672
2005	4514	174515312
2006	5367	172130824
2007	6079	199107552
2008	6766	196563312
2009	2053	50728256
