100	30	"Asia/Pacific"	"IRAN (ISLAMIC REPUBLIC OF)                     "	27	4
101	30	"Asia/Pacific"	"IRAQ                                           "	2	0
102	30	"Asia/Pacific"	"ISRAEL                                         "	48	2
103	30	"Asia/Pacific"	"JAPAN                                          "	169	20
104	30	"Asia/Pacific"	"JORDAN                                         "	7	5
105	30	"Asia/Pacific"	"KAZAKHSTAN                                     "	16	3
106	30	"Asia/Pacific"	"KOREA, REPUBLIC OF                             "	102	1
107	30	"Asia/Pacific"	"KUWAIT                                         "	10	2
108	30	"Asia/Pacific"	"KYRGYZSTAN                                     "	8	0
109	30	"Asia/Pacific"	"LAO PEOPLE'S DEMOCRATIC REPUBLIC               "	2	0
110	30	"Asia/Pacific"	"LEBANON                                        "	14	0
111	30	"Asia/Pacific"	"MACAO                                          "	1	0
112	30	"Asia/Pacific"	"MALAYSIA                                       "	30	12
113	30	"Asia/Pacific"	"MALDIVES                                       "	2	0
114	30	"Asia/Pacific"	"MONGOLIA				"	6	0
115	30	"Asia/Pacific"	"NEPAL                                          "	5	0
116	30	"Asia/Pacific"	"NEW ZEALAND                                    "	48	2
117	30	"Asia/Pacific"	"PAKISTAN                                       "	20	4
118	30	"Asia/Pacific"	"PALESTINIAN TERRITORY, OCCUPIED		"	1	0
119	30	"Asia/Pacific"	"PHILIPPINES                                    "	38	7
120	30	"Asia/Pacific"	"QATAR                                          "	1	0
121	30	"Asia/Pacific"	"SAUDI ARABIA                                   "	21	5
122	30	"Asia/Pacific"	"SINGAPORE                                      "	35	8
123	30	"Asia/Pacific"	"SRI LANKA                                      "	6	9
124	30	"Asia/Pacific"	"SYRIAN ARAB REPUBLIC                           "	3	0
125	30	"Asia/Pacific"	"TAJIKISTAN                                     "	2	0
126	30	"Asia/Pacific"	"THAILAND                                       "	27	2
127	30	"Asia/Pacific"	"TURKEY                                         "	45	12
128	30	"Asia/Pacific"	"TURKMENISTAN                                   "	1	0
129	30	"Asia/Pacific"	"UNITED ARAB EMIRATES                           "	7	1
130	30	"Asia/Pacific"	"UZBEKISTAN                                     "	6	0
131	30	"Asia/Pacific"	"VIET NAM                                       "	26	0
132	40	"Africa"	"ALGERIA                                        "	1	1
133	40	"Africa"	"ANGOLA                                         "	4	0
134	40	"Africa"	"BENIN                                          "	4	0
