102		30	"Asia/Pacific"	"AZERBAIJAN                                     "	21	1
103		30	"Asia/Pacific"	"Asia/Pacific Region"	54	15
104		30	"Asia/Pacific"	"BAHRAIN                                        "	30	1
105		30	"Asia/Pacific"	"BANGLADESH                                     "	90	3
106		30	"Asia/Pacific"	"BHUTAN                                         "	4	0
107		30	"Asia/Pacific"	"BRUNEI DARUSSALAM                              "	6	0
108		30	"Asia/Pacific"	"CAMBODIA                                       "	37	0
109		30	"Asia/Pacific"	"CHINA                                          "	1175	39
110		30	"Asia/Pacific"	"CYPRUS                                         "	59	1
111		30	"Asia/Pacific"	"GEORGIA                                        "	36	1
112		30	"Asia/Pacific"	"HONG KONG                                      "	204	57
113		30	"Asia/Pacific"	"INDIA                                          "	377	40
114		30	"Asia/Pacific"	"INDONESIA                                      "	295	33
115		30	"Asia/Pacific"	"IRAN (ISLAMIC REPUBLIC OF)                     "	82	7
116		30	"Asia/Pacific"	"IRAQ                                           "	7	0
117		30	"Asia/Pacific"	"ISRAEL                                         "	186	41
118		30	"Asia/Pacific"	"JAPAN                                          "	1480	144
119		30	"Asia/Pacific"	"JORDAN                                         "	32	7
120		30	"Asia/Pacific"	"KAZAKHSTAN                                     "	60	2
121		30	"Asia/Pacific"	"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF         "	0	1
122		30	"Asia/Pacific"	"KOREA, REPUBLIC OF                             "	489	27
123		30	"Asia/Pacific"	"KUWAIT                                         "	43	7
124		30	"Asia/Pacific"	"KYRGYZSTAN                                     "	16	0
125		30	"Asia/Pacific"	"LAO PEOPLE'S DEMOCRATIC REPUBLIC               "	6	0
126		30	"Asia/Pacific"	"LEBANON                                        "	34	0
127		30	"Asia/Pacific"	"MACAO                                          "	7	0
128		30	"Asia/Pacific"	"MALAYSIA                                       "	179	13
129		30	"Asia/Pacific"	"MALDIVES                                       "	7	0
130		30	"Asia/Pacific"	"MONGOLIA				"	20	0
131		30	"Asia/Pacific"	"NEPAL                                          "	16	0
132		30	"Asia/Pacific"	"NEW ZEALAND                                    "	931	89
133		30	"Asia/Pacific"	"OMAN                                           "	3	1
134		30	"Asia/Pacific"	"PAKISTAN                                       "	77	16
135		30	"Asia/Pacific"	"PALESTINIAN TERRITORY, OCCUPIED		"	17	0
136		30	"Asia/Pacific"	"PHILIPPINES                                    "	171	38
137		30	"Asia/Pacific"	"QATAR                                          "	7	0
138		30	"Asia/Pacific"	"SAUDI ARABIA                                   "	119	25
139		30	"Asia/Pacific"	"SINGAPORE                                      "	176	20
140		30	"Asia/Pacific"	"SRI LANKA                                      "	17	8
141		30	"Asia/Pacific"	"SYRIAN ARAB REPUBLIC                           "	12	2
142		30	"Asia/Pacific"	"TAJIKISTAN                                     "	7	0
143		30	"Asia/Pacific"	"THAILAND                                       "	139	38
144		30	"Asia/Pacific"	"TURKEY                                         "	195	27
145		30	"Asia/Pacific"	"TURKMENISTAN                                   "	1	0
146		30	"Asia/Pacific"	"UNITED ARAB EMIRATES                           "	20	8
147		30	"Asia/Pacific"	"UZBEKISTAN                                     "	17	0
148		30	"Asia/Pacific"	"VIET NAM                                       "	84	0
149		30	"Asia/Pacific"	"YEMEN                                          "	2	0
150		40	"Africa"	"ALGERIA                                        "	18	5
151		40	"Africa"	"AMERICAN SAMOA                                 "	1	0
152		40	"Africa"	"ANGOLA                                         "	18	0
153		40	"Africa"	"BENIN                                          "	6	0
154		40	"Africa"	"BOTSWANA                                       "	8	1
155		40	"Africa"	"BURKINA FASO                                   "	5	0
156		40	"Africa"	"BURUNDI                                        "	2	0
157		40	"Africa"	"CAMEROON                                       "	11	2
158		40	"Africa"	"CAPE VERDE                                     "	2	0
159		40	"Africa"	"CENTRAL AFRICAN REPUBLIC                       "	3	0
160		40	"Africa"	"CONGO                                          "	4	0
161		40	"Africa"	"CONGO, THE DEMOCRATIC REPUBLIC OF THE          "	5	0
162		40	"Africa"	"COTE D'IVOIRE                                  "	13	0
163		40	"Africa"	"DJIBOUTI                                       "	1	0
164		40	"Africa"	"EGYPT                                          "	57	8
165		40	"Africa"	"EQUATORIAL GUINEA                              "	1	0
166		40	"Africa"	"ERITREA                                        "	1	0
167		40	"Africa"	"FIJI                                           "	10	0
168		40	"Africa"	"FRENCH POLYNESIA                               "	4	0
169		40	"Africa"	"GABON                                          "	8	0
170		40	"Africa"	"GAMBIA                                         "	2	0
171		40	"Africa"	"GHANA                                          "	25	2
172		40	"Africa"	"GUAM                                           "	7	4
173		40	"Africa"	"GUINEA                                         "	0	3
174		40	"Africa"	"GUINEA-BISSAU                                  "	1	0
175		40	"Africa"	"KENYA                                          "	43	1
176		40	"Africa"	"KIRIBATI                                       "	1	0
177		40	"Africa"	"LESOTHO                                        "	4	0
178		40	"Africa"	"LIBYAN ARAB JAMAHIRIYA                         "	2	0
179		40	"Africa"	"MADAGASCAR                                     "	5	0
180		40	"Africa"	"MALAWI                                         "	8	0
181		40	"Africa"	"MALI                                           "	5	0
182		40	"Africa"	"MARSHALL ISLANDS                               "	1	0
183		40	"Africa"	"MAURITANIA                                     "	2	0
184		40	"Africa"	"MAURITIUS                                      "	20	0
185		40	"Africa"	"MICRONESIA, FEDERATED STATES OF                "	1	0
186		40	"Africa"	"MOROCCO                                        "	10	2
187		40	"Africa"	"MOZAMBIQUE                                     "	12	1
188		40	"Africa"	"NAMIBIA                                        "	10	2
189		40	"Africa"	"NEW CALEDONIA                                  "	12	0
190		40	"Africa"	"NIGER                                          "	2	1
191		40	"Africa"	"NIGERIA                                        "	57	2
192		40	"Africa"	"NIUE                                           "	1	0
