1	42978
2	20826
3	18384
4	17801
5	17866
6	14377
7	12457
8	10890
9	11548
10	10178
11	10060
12	10008
13	9405
14	7902
15	8376
16	7576
17	4803
18	6975
19	7582
20	7021
21	7675
22	6201
23	6375
24	6476
25	5940
26	6006
27	5636
28	5797
29	6670
30	4783
31	2600
32	4715
33	5049
34	4895
35	4456
36	4355
37	4309
38	4283
39	4044
40	3867
41	3857
42	3657
43	4067
44	3084
45	1590
46	3272
47	3571
48	3608
49	3304
50	3199
51	3226
52	3117
53	3081
54	2879
55	2997
56	2757
57	2835
58	2807
59	1373
60	2573
61	2535
62	2749
63	2601
64	2914
65	2443
66	2469
67	2458
68	2097
69	2208
70	2027
71	2161
72	1913
73	1058
74	2200
75	2194
76	2069
77	2068
78	1835
79	1780
80	1837
81	1809
82	1824
83	2100
84	1892
85	2294
86	4349
87	46161
