1	34613
2	21509
3	17952
4	16614
5	10570
6	14629
7	13588
8	10752
9	11788
10	10689
11	10437
12	9739
13	10508
14	8096
15	8831
16	8249
17	8158
18	6963
19	4578
20	7016
21	7001
22	6803
23	7545
24	6443
25	6395
26	6516
27	5484
28	5485
29	5944
30	7006
31	6776
32	6043
33	4785
34	6170
35	5423
36	5663
37	5079
38	5723
39	4300
40	4262
41	3445
42	3671
43	3681
44	3927
45	3512
46	3521
47	3340
48	3482
49	3434
50	3154
51	3088
52	3086
53	3470
54	3456
55	2781
56	3136
57	2206
58	2444
59	2200
60	2603
61	2389
62	2189
63	2298
64	2516
65	2376
66	2085
67	2408
68	8177
69	2223
70	3153
71	1898
72	2862
73	2421
74	1750
75	2591
76	3622
77	3975
78	2914
79	2009
80	1325
81	1643
82	3465
83	11540
84	2797
85	6033
86	591
87	6745
