1	50873
2	25918
3	23554
4	20338
5	13439
6	17273
7	15135
8	13145
9	15109
10	12958
11	13858
12	13285
13	16330
14	10110
15	10078
16	9261
17	9058
18	11021
19	42453
20	6181
21	6657
22	6972
23	7404
24	6100
25	5379
26	5507
27	5038
28	4164
29	5434
30	5242
31	4676
32	4196
33	2858
34	4234
35	6559
36	4318
37	4278
38	3913
39	4159
40	3725
41	3589
42	2981
43	3805
44	3660
45	3270
46	3127
47	1728
48	2980
49	2794
50	3713
51	2920
52	3221
53	2742
54	3021
55	2863
56	6373
57	2421
58	2427
59	2285
60	2049
61	1075
62	2204
63	2193
64	2049
65	2024
66	1892
67	1927
68	2006
69	1884
70	1587
71	1928
72	1972
73	2360
74	7092
75	44542
