1	42064
2	23502
3	30357
4	18581
5	11317
6	18448
7	14880
8	11769
9	12530
10	11109
11	10384
12	10194
13	11068
14	12925
15	9222
16	8136
17	7976
18	7064
19	4512
20	7022
21	6837
22	7618
23	7519
24	5888
25	7002
26	6414
27	5755
28	5240
29	6241
30	6198
31	6198
32	4977
33	2704
34	4485
35	4870
36	5460
37	4382
38	4398
39	4266
40	4231
41	3957
42	3312
43	3847
44	3989
45	3681
46	3000
47	1601
48	3391
49	3457
50	3498
51	3360
52	3198
53	3350
54	3187
55	2990
56	2602
57	3115
58	3033
59	2815
60	2856
61	1432
62	2513
63	2442
64	2681
65	2604
66	3073
67	2531
68	2308
69	2348
70	2006
71	2334
72	2245
73	1947
74	2422
75	1008
76	2014
77	2217
78	2010
79	1920
80	1770
81	1899
82	1964
83	1689
84	1607
85	1901
86	1911
87	2349
88	4025
89	47391
